SessionSeg,Any,Accuracy,Fluency,Style,Critical,Minor
P03_Ist4_2,40.0,31.0,9.0,0.0,30.0,10.0
P03_Ist4_3,54.0,27.0,25.0,2.0,17.0,37.0
P03_Ist4_4,27.0,3.0,23.0,0.0,0.0,26.0
P03_Ist5_1,29.0,16.0,13.0,0.0,8.0,21.0
P03_Ist5_2,23.0,4.0,14.0,4.0,0.0,22.0
P03_Ist5_3,8.0,3.0,3.0,0.0,0.0,6.0
P03_Ist5_4,21.0,5.0,16.0,0.0,13.0,8.0
P03_Ist5_5,58.0,17.0,41.0,0.0,26.0,32.0
P03_Ist5_6,13.0,6.0,6.0,0.0,0.0,12.0
P03_Ist6_1,63.0,34.0,26.0,3.0,24.0,39.0
P03_Ist6_2,99.0,55.0,44.0,0.0,6.0,93.0
P03_Ist6_3,31.0,0.0,30.0,0.0,0.0,30.0
P03_Ist6_4,24.0,5.0,19.0,0.0,3.0,21.0
P03_Ist6_5,59.0,25.0,34.0,0.0,17.0,42.0
P04_Ist1_1,18.0,7.0,11.0,0.0,9.0,9.0
P04_Ist1_2,55.0,31.0,21.0,3.0,28.0,27.0
P04_Ist1_3,66.0,56.0,10.0,0.0,48.0,18.0
P04_Ist1_4,28.0,8.0,20.0,0.0,6.0,22.0
P04_Ist1_5,52.0,48.0,4.0,0.0,48.0,4.0
P04_Ist1_6,35.0,31.0,4.0,0.0,27.0,8.0
P04_Ist2_1,43.0,29.0,14.0,0.0,19.0,24.0
P04_Ist2_2,50.0,50.0,0.0,0.0,45.0,5.0
P04_Ist2_3,124.0,120.0,4.0,0.0,124.0,0.0
P04_Ist2_4,94.0,94.0,0.0,0.0,69.0,25.0
P04_Ist2_5,22.0,8.0,14.0,0.0,11.0,11.0
P04_Ist4_1,89.0,89.0,0.0,0.0,86.0,3.0
P04_Ist4_2,16.0,16.0,0.0,0.0,15.0,1.0
P04_Ist4_3,115.0,115.0,0.0,0.0,106.0,9.0
P04_Ist4_4,82.0,80.0,2.0,0.0,78.0,4.0
P04_Ist6_1,166.0,162.0,4.0,0.0,162.0,4.0
P04_Ist6_2,92.0,55.0,37.0,0.0,56.0,36.0
P04_Ist6_3,9.0,0.0,8.0,0.0,0.0,8.0
P04_Ist6_4,15.0,15.0,0.0,0.0,13.0,2.0
P04_Ist6_5,110.0,108.0,2.0,0.0,108.0,2.0
P05_Ist1_1,5.0,4.0,0.0,0.0,2.0,2.0
P05_Ist1_2,44.0,8.0,33.0,3.0,7.0,37.0
P05_Ist1_3,52.0,36.0,13.0,3.0,26.0,26.0
P05_Ist1_4,22.0,6.0,16.0,0.0,6.0,16.0
P05_Ist1_5,29.0,29.0,0.0,0.0,29.0,0.0
P05_Ist1_6,31.0,6.0,24.0,0.0,3.0,27.0
P05_Ist2_1,17.0,5.0,11.0,0.0,0.0,16.0
P05_Ist2_2,16.0,10.0,4.0,0.0,9.0,5.0
P05_Ist2_3,38.0,25.0,13.0,0.0,21.0,17.0
P05_Ist2_4,68.0,45.0,23.0,0.0,44.0,24.0
P05_Ist2_5,64.0,33.0,31.0,0.0,37.0,27.0
P05_Ist5_1,45.0,35.0,10.0,0.0,21.0,24.0
P05_Ist5_2,21.0,14.0,7.0,0.0,10.0,11.0
P05_Ist5_3,31.0,15.0,16.0,0.0,11.0,20.0
P05_Ist5_4,13.0,9.0,4.0,0.0,8.0,5.0
P05_Ist5_5,44.0,27.0,17.0,0.0,23.0,21.0
P05_Ist5_6,59.0,52.0,7.0,0.0,49.0,10.0
P05_Ist6_1,76.0,62.0,14.0,0.0,55.0,21.0
P05_Ist6_2,37.0,12.0,25.0,0.0,12.0,25.0
P05_Ist6_3,16.0,1.0,15.0,0.0,0.0,16.0
P05_Ist6_4,14.0,5.0,9.0,0.0,4.0,10.0
P05_Ist6_5,47.0,37.0,10.0,0.0,26.0,21.0
P06_Ist1_1,17.0,4.0,13.0,0.0,10.0,7.0
P06_Ist1_2,59.0,12.0,47.0,0.0,14.0,45.0
P06_Ist1_3,83.0,54.0,29.0,0.0,54.0,29.0
P06_Ist1_4,23.0,6.0,17.0,0.0,6.0,17.0
P06_Ist1_5,25.0,0.0,24.0,0.0,0.0,24.0
P06_Ist1_6,31.0,9.0,22.0,0.0,9.0,22.0
P06_Ist3_1,27.0,7.0,20.0,0.0,22.0,5.0
P06_Ist3_2,19.0,6.0,12.0,0.0,4.0,14.0
P06_Ist3_3,7.0,0.0,6.0,0.0,0.0,6.0
P06_Ist3_4,49.0,48.0,0.0,0.0,42.0,6.0
P06_Ist3_5,66.0,7.0,59.0,0.0,25.0,41.0
P06_Ist3_6,71.0,68.0,3.0,0.0,71.0,0.0
P06_Ist3_7,10.0,6.0,3.0,0.0,2.0,7.0
P06_Ist5_1,58.0,28.0,30.0,0.0,33.0,25.0
P06_Ist5_2,76.0,46.0,30.0,0.0,49.0,27.0
P06_Ist5_3,9.0,2.0,6.0,0.0,2.0,6.0
P06_Ist5_4,38.0,6.0,32.0,0.0,38.0,0.0
P06_Ist5_5,49.0,37.0,12.0,0.0,43.0,6.0
P06_Ist5_6,11.0,7.0,3.0,0.0,7.0,3.0
P06_Ist6_1,27.0,12.0,15.0,0.0,12.0,15.0
P06_Ist6_2,41.0,20.0,21.0,0.0,17.0,24.0
P06_Ist6_3,17.0,10.0,7.0,0.0,14.0,3.0
P06_Ist6_4,21.0,19.0,2.0,0.0,16.0,5.0
P06_Ist6_5,94.0,59.0,35.0,0.0,90.0,4.0
P07_Ist1_1,27.0,27.0,0.0,0.0,27.0,0.0
P07_Ist1_2,69.0,41.0,25.0,3.0,45.0,24.0
P07_Ist1_3,54.0,49.0,5.0,0.0,47.0,7.0
P07_Ist1_4,41.0,41.0,0.0,0.0,41.0,0.0
P07_Ist1_5,50.0,50.0,0.0,0.0,47.0,3.0
P07_Ist1_6,27.0,16.0,11.0,0.0,15.0,12.0
P07_Ist2_1,24.0,7.0,17.0,0.0,0.0,24.0
P07_Ist2_2,19.0,19.0,0.0,0.0,13.0,6.0
P07_Ist2_3,55.0,25.0,15.0,15.0,27.0,28.0
P07_Ist2_4,112.0,105.0,7.0,0.0,110.0,2.0
P07_Ist2_5,45.0,26.0,19.0,0.0,29.0,16.0
P07_Ist3_1,63.0,10.0,53.0,0.0,36.0,27.0
P07_Ist3_2,10.0,10.0,0.0,0.0,0.0,10.0
P07_Ist3_3,58.0,18.0,40.0,0.0,45.0,13.0
P07_Ist3_4,21.0,13.0,7.0,0.0,20.0,0.0
P07_Ist3_5,84.0,27.0,57.0,0.0,49.0,35.0
P07_Ist3_6,39.0,39.0,0.0,0.0,39.0,0.0
P07_Ist3_7,19.0,19.0,0.0,0.0,19.0,0.0
P07_Ist6_1,81.0,25.0,56.0,0.0,46.0,35.0
P07_Ist6_2,16.0,9.0,7.0,0.0,3.0,13.0
P07_Ist6_3,9.0,0.0,7.0,0.0,0.0,7.0
P07_Ist6_4,12.0,10.0,0.0,2.0,3.0,9.0
P07_Ist6_5,67.0,44.0,23.0,0.0,65.0,2.0
P08_Ist2_1,29.0,21.0,8.0,0.0,9.0,20.0
P08_Ist2_2,42.0,19.0,23.0,0.0,35.0,7.0
P08_Ist2_3,97.0,74.0,23.0,0.0,94.0,3.0
P08_Ist2_4,73.0,61.0,9.0,3.0,61.0,12.0
P08_Ist2_5,36.0,22.0,10.0,4.0,12.0,24.0
P08_Ist4_1,70.0,62.0,8.0,0.0,66.0,4.0
P08_Ist4_2,13.0,3.0,9.0,0.0,3.0,9.0
P08_Ist4_3,121.0,106.0,15.0,0.0,100.0,21.0
P08_Ist4_4,42.0,37.0,0.0,5.0,26.0,16.0
P08_Ist5_1,114.0,103.0,11.0,0.0,94.0,20.0
P08_Ist5_2,87.0,87.0,0.0,0.0,87.0,0.0
P08_Ist5_3,41.0,7.0,29.0,5.0,26.0,15.0
P08_Ist5_4,27.0,27.0,0.0,0.0,27.0,0.0
P08_Ist5_5,53.0,13.0,38.0,2.0,38.0,15.0
P08_Ist5_6,13.0,13.0,0.0,0.0,13.0,0.0
P08_Ist6_1,123.0,113.0,10.0,0.0,121.0,2.0
P08_Ist6_2,63.0,38.0,25.0,0.0,37.0,26.0
P08_Ist6_3,11.0,4.0,6.0,0.0,2.0,8.0
P08_Ist6_4,13.0,6.0,5.0,2.0,4.0,9.0
P08_Ist6_5,80.0,75.0,5.0,0.0,76.0,4.0
P09_Ist1_1,31.0,5.0,21.0,4.0,5.0,25.0
P09_Ist1_2,72.0,54.0,2.0,16.0,61.0,11.0
P09_Ist1_3,50.0,50.0,0.0,0.0,45.0,5.0
P09_Ist1_4,10.0,7.0,0.0,2.0,0.0,9.0
P09_Ist1_5,11.0,6.0,5.0,0.0,6.0,5.0
P09_Ist1_6,15.0,7.0,2.0,5.0,3.0,11.0
P09_Ist2_1,18.0,7.0,6.0,5.0,2.0,16.0
P09_Ist2_2,18.0,13.0,5.0,0.0,9.0,9.0
P09_Ist2_3,100.0,73.0,27.0,0.0,64.0,36.0
P09_Ist2_4,87.0,59.0,28.0,0.0,61.0,26.0
P09_Ist2_5,38.0,38.0,0.0,0.0,30.0,8.0
P09_Ist5_1,110.0,89.0,13.0,8.0,94.0,16.0
P09_Ist5_2,71.0,57.0,14.0,0.0,71.0,0.0
P09_Ist5_3,50.0,47.0,3.0,0.0,47.0,3.0
P09_Ist5_4,23.0,23.0,0.0,0.0,23.0,0.0
P09_Ist5_5,44.0,35.0,9.0,0.0,33.0,11.0
P09_Ist5_6,52.0,41.0,8.0,3.0,40.0,12.0
P09_Ist6_1,46.0,44.0,2.0,0.0,39.0,7.0
P09_Ist6_2,30.0,21.0,6.0,3.0,13.0,17.0
P09_Ist6_3,18.0,7.0,11.0,0.0,7.0,11.0
P09_Ist6_4,9.0,9.0,0.0,0.0,6.0,3.0
P09_Ist6_5,92.0,92.0,0.0,0.0,67.0,25.0
