SessionSeg,Any,Accuracy,Fluency,Style,Critical,Minor,TextID,Annotator
P02_Ist3_2,1.0,0.0,0.0,0.0,0.0,0.0,Ist3,A
P02_Ist3_3,5.0,5.0,0.0,0.0,3.0,2.0,Ist3,A
P02_Ist3_4,20.0,20.0,0.0,0.0,20.0,0.0,Ist3,A
P02_Ist3_5,15.0,15.0,0.0,0.0,13.0,2.0,Ist3,A
P02_Ist3_6,5.0,2.0,3.0,0.0,0.0,5.0,Ist3,A
P02_Ist3_7,1.0,0.0,0.0,0.0,0.0,0.0,Ist3,A
P02_Ist4_1,19.0,19.0,0.0,0.0,10.0,9.0,Ist4,A
P02_Ist4_2,7.0,5.0,2.0,0.0,5.0,2.0,Ist4,A
P02_Ist4_3,42.0,42.0,0.0,0.0,36.0,6.0,Ist4,A
P02_Ist4_4,5.0,5.0,0.0,0.0,3.0,2.0,Ist4,A
P03_Ist1_1,4.0,4.0,0.0,0.0,4.0,0.0,Ist1,A
P03_Ist1_2,22.0,5.0,12.0,5.0,17.0,5.0,Ist1,A
P03_Ist1_3,28.0,16.0,0.0,12.0,7.0,21.0,Ist1,A
P03_Ist1_4,1.0,0.0,0.0,0.0,0.0,0.0,Ist1,A
P03_Ist1_5,7.0,5.0,2.0,0.0,7.0,0.0,Ist1,A
P03_Ist1_6,9.0,0.0,9.0,0.0,0.0,9.0,Ist1,A
P03_Ist4_1,30.0,6.0,24.0,0.0,12.0,18.0,Ist4,A
P03_Ist4_2,7.0,2.0,5.0,0.0,2.0,5.0,Ist4,A
P03_Ist4_3,13.0,11.0,0.0,2.0,2.0,11.0,Ist4,A
P03_Ist4_4,2.0,2.0,0.0,0.0,0.0,2.0,Ist4,A
P03_Ist5_1,3.0,3.0,0.0,0.0,0.0,3.0,Ist5,A
P03_Ist5_2,4.0,4.0,0.0,0.0,0.0,4.0,Ist5,A
P03_Ist5_3,1.0,0.0,0.0,0.0,0.0,0.0,Ist5,A
P03_Ist5_4,3.0,0.0,3.0,0.0,0.0,3.0,Ist5,A
P03_Ist5_5,17.0,0.0,17.0,0.0,17.0,0.0,Ist5,A
P03_Ist5_6,1.0,0.0,0.0,0.0,0.0,0.0,Ist5,A
P03_Ist6_1,22.0,15.0,4.0,3.0,9.0,13.0,Ist6,A
P03_Ist6_2,32.0,2.0,30.0,0.0,6.0,26.0,Ist6,A
P03_Ist6_3,13.0,0.0,13.0,0.0,0.0,13.0,Ist6,A
P03_Ist6_4,6.0,0.0,6.0,0.0,0.0,6.0,Ist6,A
P03_Ist6_5,8.0,3.0,5.0,0.0,0.0,8.0,Ist6,A
P04_Ist1_1,6.0,2.0,4.0,0.0,6.0,0.0,Ist1,A
P04_Ist1_2,9.0,6.0,0.0,3.0,6.0,3.0,Ist1,A
P04_Ist1_3,23.0,23.0,0.0,0.0,18.0,5.0,Ist1,A
P04_Ist1_4,17.0,2.0,15.0,0.0,2.0,15.0,Ist1,A
P04_Ist1_5,13.0,13.0,0.0,0.0,13.0,0.0,Ist1,A
P04_Ist1_6,14.0,14.0,0.0,0.0,14.0,0.0,Ist1,A
P04_Ist2_1,11.0,8.0,3.0,0.0,11.0,0.0,Ist2,A
P04_Ist2_2,13.0,13.0,0.0,0.0,11.0,2.0,Ist2,A
P04_Ist2_3,30.0,30.0,0.0,0.0,30.0,0.0,Ist2,A
P04_Ist2_4,39.0,39.0,0.0,0.0,24.0,15.0,Ist2,A
P04_Ist2_5,5.0,0.0,5.0,0.0,5.0,0.0,Ist2,A
P04_Ist4_1,18.0,18.0,0.0,0.0,15.0,3.0,Ist4,A
P04_Ist4_2,5.0,5.0,0.0,0.0,4.0,1.0,Ist4,A
P04_Ist4_3,28.0,28.0,0.0,0.0,25.0,3.0,Ist4,A
P04_Ist4_4,21.0,21.0,0.0,0.0,19.0,2.0,Ist4,A
P04_Ist6_1,40.0,40.0,0.0,0.0,40.0,0.0,Ist6,A
P04_Ist6_2,29.0,19.0,10.0,0.0,28.0,1.0,Ist6,A
P04_Ist6_3,2.0,0.0,2.0,0.0,0.0,2.0,Ist6,A
P04_Ist6_4,4.0,4.0,0.0,0.0,4.0,0.0,Ist6,A
P04_Ist6_5,39.0,39.0,0.0,0.0,39.0,0.0,Ist6,A
P05_Ist1_1,1.0,0.0,0.0,0.0,0.0,0.0,Ist1,A
P05_Ist1_2,5.0,2.0,0.0,3.0,1.0,4.0,Ist1,A
P05_Ist1_3,12.0,7.0,2.0,3.0,9.0,3.0,Ist1,A
P05_Ist1_4,13.0,0.0,13.0,0.0,0.0,13.0,Ist1,A
P05_Ist1_5,9.0,9.0,0.0,0.0,9.0,0.0,Ist1,A
P05_Ist1_6,3.0,3.0,0.0,0.0,0.0,3.0,Ist1,A
P05_Ist2_1,3.0,3.0,0.0,0.0,0.0,3.0,Ist2,A
P05_Ist2_2,1.0,0.0,0.0,0.0,0.0,0.0,Ist2,A
P05_Ist2_3,9.0,6.0,3.0,0.0,9.0,0.0,Ist2,A
P05_Ist2_4,12.0,10.0,2.0,0.0,10.0,2.0,Ist2,A
P05_Ist2_5,15.0,13.0,2.0,0.0,15.0,0.0,Ist2,A
P05_Ist5_1,13.0,13.0,0.0,0.0,7.0,6.0,Ist5,A
P05_Ist5_2,6.0,6.0,0.0,0.0,4.0,2.0,Ist5,A
P05_Ist5_3,5.0,3.0,2.0,0.0,5.0,0.0,Ist5,A
P05_Ist5_4,6.0,6.0,0.0,0.0,6.0,0.0,Ist5,A
P05_Ist5_5,12.0,12.0,0.0,0.0,9.0,3.0,Ist5,A
P05_Ist5_6,20.0,20.0,0.0,0.0,20.0,0.0,Ist5,A
P05_Ist6_1,17.0,15.0,2.0,0.0,17.0,0.0,Ist6,A
P05_Ist6_2,7.0,1.0,6.0,0.0,7.0,0.0,Ist6,A
P05_Ist6_3,6.0,0.0,6.0,0.0,0.0,6.0,Ist6,A
P05_Ist6_4,4.0,0.0,4.0,0.0,2.0,2.0,Ist6,A
P05_Ist6_5,16.0,11.0,5.0,0.0,7.0,9.0,Ist6,A
P06_Ist1_1,6.0,0.0,6.0,0.0,6.0,0.0,Ist1,A
P06_Ist1_2,11.0,3.0,8.0,0.0,7.0,4.0,Ist1,A
P06_Ist1_3,23.0,17.0,6.0,0.0,23.0,0.0,Ist1,A
P06_Ist1_4,17.0,0.0,17.0,0.0,0.0,17.0,Ist1,A
P06_Ist1_5,21.0,0.0,21.0,0.0,0.0,21.0,Ist1,A
P06_Ist1_6,13.0,0.0,13.0,0.0,0.0,13.0,Ist1,A
P06_Ist3_1,12.0,2.0,10.0,0.0,12.0,0.0,Ist3,A
P06_Ist3_2,8.0,0.0,8.0,0.0,0.0,8.0,Ist3,A
P06_Ist3_3,2.0,0.0,2.0,0.0,0.0,2.0,Ist3,A
P06_Ist3_4,1.0,0.0,0.0,0.0,0.0,0.0,Ist3,A
P06_Ist3_5,17.0,1.0,16.0,0.0,12.0,5.0,Ist3,A
P06_Ist3_6,3.0,0.0,3.0,0.0,3.0,0.0,Ist3,A
P06_Ist3_7,4.0,4.0,0.0,0.0,0.0,4.0,Ist3,A
P06_Ist5_1,13.0,8.0,5.0,0.0,13.0,0.0,Ist5,A
P06_Ist5_2,14.0,8.0,6.0,0.0,11.0,3.0,Ist5,A
P06_Ist5_3,4.0,2.0,2.0,0.0,2.0,2.0,Ist5,A
P06_Ist5_4,10.0,0.0,10.0,0.0,10.0,0.0,Ist5,A
P06_Ist5_5,16.0,7.0,9.0,0.0,16.0,0.0,Ist5,A
P06_Ist5_6,2.0,2.0,0.0,0.0,2.0,0.0,Ist5,A
P06_Ist6_1,2.0,0.0,2.0,0.0,2.0,0.0,Ist6,A
P06_Ist6_2,11.0,1.0,10.0,0.0,10.0,1.0,Ist6,A
P06_Ist6_3,6.0,1.0,5.0,0.0,6.0,0.0,Ist6,A
P06_Ist6_4,8.0,8.0,0.0,0.0,6.0,2.0,Ist6,A
P06_Ist6_5,22.0,18.0,4.0,0.0,22.0,0.0,Ist6,A
P07_Ist1_1,9.0,9.0,0.0,0.0,9.0,0.0,Ist1,A
P07_Ist1_2,20.0,13.0,4.0,3.0,17.0,3.0,Ist1,A
P07_Ist1_3,19.0,19.0,0.0,0.0,19.0,0.0,Ist1,A
P07_Ist1_4,14.0,14.0,0.0,0.0,14.0,0.0,Ist1,A
P07_Ist1_5,7.0,7.0,0.0,0.0,7.0,0.0,Ist1,A
P07_Ist1_6,7.0,4.0,3.0,0.0,7.0,0.0,Ist1,A
P07_Ist2_1,5.0,0.0,5.0,0.0,0.0,5.0,Ist2,A
P07_Ist2_2,5.0,5.0,0.0,0.0,4.0,1.0,Ist2,A
P07_Ist2_3,17.0,2.0,0.0,15.0,7.0,10.0,Ist2,A
P07_Ist2_4,35.0,28.0,7.0,0.0,35.0,0.0,Ist2,A
P07_Ist2_5,13.0,5.0,8.0,0.0,13.0,0.0,Ist2,A
P07_Ist3_1,33.0,2.0,31.0,0.0,30.0,3.0,Ist3,A
P07_Ist3_2,3.0,3.0,0.0,0.0,0.0,3.0,Ist3,A
P07_Ist3_3,34.0,7.0,27.0,0.0,34.0,0.0,Ist3,A
P07_Ist3_4,9.0,2.0,7.0,0.0,9.0,0.0,Ist3,A
P07_Ist3_5,33.0,7.0,26.0,0.0,33.0,0.0,Ist3,A
P07_Ist3_6,18.0,18.0,0.0,0.0,18.0,0.0,Ist3,A
P07_Ist3_7,5.0,5.0,0.0,0.0,5.0,0.0,Ist3,A
P07_Ist6_1,12.0,5.0,7.0,0.0,7.0,5.0,Ist6,A
P07_Ist6_2,3.0,1.0,2.0,0.0,2.0,1.0,Ist6,A
P07_Ist6_3,7.0,0.0,7.0,0.0,0.0,7.0,Ist6,A
P07_Ist6_4,4.0,4.0,0.0,0.0,0.0,4.0,Ist6,A
P07_Ist6_5,19.0,12.0,7.0,0.0,19.0,0.0,Ist6,A
P08_Ist2_1,8.0,8.0,0.0,0.0,3.0,5.0,Ist2,A
P08_Ist2_2,15.0,3.0,12.0,0.0,15.0,0.0,Ist2,A
P08_Ist2_3,38.0,27.0,11.0,0.0,38.0,0.0,Ist2,A
P08_Ist2_4,20.0,17.0,3.0,0.0,20.0,0.0,Ist2,A
P08_Ist2_5,8.0,8.0,0.0,0.0,4.0,4.0,Ist2,A
P08_Ist4_1,14.0,8.0,6.0,0.0,12.0,2.0,Ist4,A
P08_Ist4_2,3.0,3.0,0.0,0.0,3.0,0.0,Ist4,A
P08_Ist4_3,41.0,41.0,0.0,0.0,41.0,0.0,Ist4,A
P08_Ist4_4,9.0,9.0,0.0,0.0,8.0,1.0,Ist4,A
P08_Ist5_1,40.0,36.0,4.0,0.0,33.0,7.0,Ist5,A
P08_Ist5_2,32.0,32.0,0.0,0.0,32.0,0.0,Ist5,A
P08_Ist5_3,9.0,2.0,7.0,0.0,9.0,0.0,Ist5,A
P08_Ist5_4,1.0,1.0,0.0,0.0,1.0,0.0,Ist5,A
P08_Ist5_5,24.0,4.0,20.0,0.0,24.0,0.0,Ist5,A
P08_Ist5_6,2.0,2.0,0.0,0.0,2.0,0.0,Ist5,A
P08_Ist6_1,38.0,28.0,10.0,0.0,36.0,2.0,Ist6,A
P08_Ist6_2,28.0,12.0,16.0,0.0,16.0,12.0,Ist6,A
P08_Ist6_3,6.0,0.0,6.0,0.0,0.0,6.0,Ist6,A
P08_Ist6_4,5.0,0.0,5.0,0.0,0.0,5.0,Ist6,A
P08_Ist6_5,25.0,20.0,5.0,0.0,25.0,0.0,Ist6,A
P09_Ist1_1,5.0,1.0,0.0,4.0,1.0,4.0,Ist1,A
P09_Ist1_2,21.0,17.0,2.0,2.0,14.0,7.0,Ist1,A
P09_Ist1_3,12.0,12.0,0.0,0.0,11.0,1.0,Ist1,A
P09_Ist1_4,2.0,0.0,0.0,2.0,0.0,2.0,Ist1,A
P09_Ist1_5,2.0,0.0,2.0,0.0,0.0,2.0,Ist1,A
P09_Ist1_6,3.0,3.0,0.0,0.0,3.0,0.0,Ist1,A
P09_Ist2_1,2.0,0.0,2.0,0.0,2.0,0.0,Ist2,A
P09_Ist2_2,5.0,0.0,5.0,0.0,0.0,5.0,Ist2,A
P09_Ist2_3,13.0,13.0,0.0,0.0,12.0,1.0,Ist2,A
P09_Ist2_4,20.0,11.0,9.0,0.0,2.0,18.0,Ist2,A
P09_Ist2_5,5.0,5.0,0.0,0.0,5.0,0.0,Ist2,A
P09_Ist5_1,28.0,23.0,5.0,0.0,28.0,0.0,Ist5,A
P09_Ist5_2,11.0,11.0,0.0,0.0,11.0,0.0,Ist5,A
P09_Ist5_3,15.0,15.0,0.0,0.0,15.0,0.0,Ist5,A
P09_Ist5_4,4.0,4.0,0.0,0.0,4.0,0.0,Ist5,A
P09_Ist5_5,8.0,8.0,0.0,0.0,8.0,0.0,Ist5,A
P09_Ist5_6,18.0,15.0,0.0,3.0,15.0,3.0,Ist5,A
P09_Ist6_1,8.0,8.0,0.0,0.0,7.0,1.0,Ist6,A
P09_Ist6_2,4.0,1.0,0.0,3.0,0.0,4.0,Ist6,A
P09_Ist6_3,8.0,0.0,8.0,0.0,0.0,8.0,Ist6,A
P09_Ist6_4,1.0,1.0,0.0,0.0,0.0,1.0,Ist6,A
P09_Ist6_5,13.0,13.0,0.0,0.0,8.0,5.0,Ist6,A
P00_Ist3_1,31.0,6.0,3.0,22.0,4.0,27.0,Ist3,B
P00_Ist3_2,14.0,5.0,0.0,9.0,4.0,10.0,Ist3,B
P00_Ist3_3,11.0,3.0,2.0,6.0,1.0,10.0,Ist3,B
P00_Ist3_4,8.0,6.0,2.0,0.0,4.0,4.0,Ist3,B
P00_Ist3_5,37.0,23.0,5.0,9.0,5.0,32.0,Ist3,B
P00_Ist3_6,13.0,7.0,0.0,6.0,7.0,6.0,Ist3,B
P00_Ist3_7,5.0,5.0,0.0,0.0,4.0,1.0,Ist3,B
P01_Ist1_1,10.0,5.0,5.0,0.0,5.0,5.0,Ist1,B
P01_Ist1_2,30.0,24.0,0.0,6.0,21.0,9.0,Ist1,B
P01_Ist1_3,42.0,31.0,11.0,0.0,26.0,16.0,Ist1,B
P01_Ist1_4,16.0,10.0,6.0,0.0,10.0,6.0,Ist1,B
P01_Ist1_5,18.0,18.0,0.0,0.0,16.0,2.0,Ist1,B
P01_Ist1_6,24.0,12.0,0.0,12.0,8.0,16.0,Ist1,B
P01_Ist2_1,11.0,2.0,5.0,4.0,0.0,11.0,Ist2,B
P01_Ist2_2,14.0,14.0,0.0,0.0,7.0,7.0,Ist2,B
P01_Ist2_3,21.0,16.0,5.0,0.0,13.0,8.0,Ist2,B
P01_Ist2_4,36.0,36.0,0.0,0.0,35.0,1.0,Ist2,B
P01_Ist2_5,22.0,9.0,13.0,0.0,6.0,16.0,Ist2,B
P01_Ist4_1,43.0,32.0,11.0,0.0,23.0,20.0,Ist4,B
P01_Ist4_2,16.0,10.0,6.0,0.0,13.0,3.0,Ist4,B
P01_Ist4_3,32.0,32.0,0.0,0.0,32.0,0.0,Ist4,B
P01_Ist4_4,12.0,10.0,2.0,0.0,10.0,2.0,Ist4,B
P01_Ist5_1,26.0,26.0,0.0,0.0,22.0,4.0,Ist5,B
P01_Ist5_2,29.0,20.0,0.0,9.0,19.0,10.0,Ist5,B
P01_Ist5_3,8.0,8.0,0.0,0.0,3.0,5.0,Ist5,B
P01_Ist5_4,10.0,10.0,0.0,0.0,10.0,0.0,Ist5,B
P01_Ist5_5,37.0,21.0,7.0,9.0,25.0,12.0,Ist5,B
P01_Ist5_6,18.0,14.0,4.0,0.0,14.0,4.0,Ist5,B
P02_Ist1_1,2.0,2.0,0.0,0.0,0.0,2.0,Ist1,B
P02_Ist1_2,51.0,17.0,12.0,22.0,20.0,31.0,Ist1,B
P02_Ist1_3,42.0,42.0,0.0,0.0,34.0,8.0,Ist1,B
P02_Ist1_4,8.0,0.0,8.0,0.0,0.0,8.0,Ist1,B
P02_Ist1_5,25.0,25.0,0.0,0.0,25.0,0.0,Ist1,B
P02_Ist1_6,37.0,19.0,18.0,0.0,36.0,1.0,Ist1,B
P02_Ist2_1,10.0,2.0,4.0,4.0,5.0,5.0,Ist2,B
P02_Ist2_2,16.0,16.0,0.0,0.0,10.0,6.0,Ist2,B
P02_Ist2_3,30.0,28.0,2.0,0.0,24.0,6.0,Ist2,B
P02_Ist2_4,45.0,37.0,8.0,0.0,36.0,9.0,Ist2,B
P02_Ist2_5,23.0,1.0,19.0,3.0,5.0,18.0,Ist2,B
P02_Ist3_1,14.0,14.0,0.0,0.0,4.0,10.0,Ist3,B
P02_Ist3_2,7.0,4.0,3.0,0.0,2.0,5.0,Ist3,B
P02_Ist3_3,16.0,5.0,0.0,11.0,5.0,11.0,Ist3,B
P02_Ist3_4,20.0,20.0,0.0,0.0,20.0,0.0,Ist3,B
P02_Ist3_5,20.0,16.0,4.0,0.0,12.0,8.0,Ist3,B
P02_Ist3_6,21.0,21.0,0.0,0.0,21.0,0.0,Ist3,B
P02_Ist3_7,5.0,5.0,0.0,0.0,5.0,0.0,Ist3,B
P02_Ist4_1,52.0,48.0,4.0,0.0,40.0,12.0,Ist4,B
P02_Ist4_2,6.0,6.0,0.0,0.0,5.0,1.0,Ist4,B
P02_Ist4_3,82.0,82.0,0.0,0.0,82.0,0.0,Ist4,B
P02_Ist4_4,13.0,11.0,2.0,0.0,10.0,3.0,Ist4,B
P03_Ist1_1,25.0,20.0,5.0,0.0,20.0,5.0,Ist1,B
P03_Ist1_2,52.0,13.0,25.0,14.0,16.0,36.0,Ist1,B
P03_Ist1_3,34.0,18.0,6.0,10.0,12.0,22.0,Ist1,B
P03_Ist1_4,3.0,3.0,0.0,0.0,0.0,3.0,Ist1,B
P03_Ist1_5,26.0,4.0,22.0,0.0,19.0,7.0,Ist1,B
P03_Ist1_6,21.0,12.0,7.0,2.0,4.0,17.0,Ist1,B
P03_Ist4_1,53.0,13.0,35.0,5.0,6.0,47.0,Ist4,B
P03_Ist4_2,23.0,19.0,4.0,0.0,18.0,5.0,Ist4,B
P03_Ist4_3,34.0,9.0,25.0,0.0,8.0,26.0,Ist4,B
P03_Ist4_4,24.0,1.0,23.0,0.0,0.0,24.0,Ist4,B
P03_Ist5_1,23.0,10.0,13.0,0.0,5.0,18.0,Ist5,B
P03_Ist5_2,18.0,0.0,14.0,4.0,0.0,18.0,Ist5,B
P03_Ist5_3,6.0,3.0,3.0,0.0,0.0,6.0,Ist5,B
P03_Ist5_4,15.0,2.0,13.0,0.0,13.0,2.0,Ist5,B
P03_Ist5_5,33.0,9.0,24.0,0.0,1.0,32.0,Ist5,B
P03_Ist5_6,8.0,2.0,6.0,0.0,0.0,8.0,Ist5,B
P03_Ist6_1,35.0,13.0,22.0,0.0,11.0,24.0,Ist6,B
P03_Ist6_2,63.0,49.0,14.0,0.0,0.0,63.0,Ist6,B
P03_Ist6_3,17.0,0.0,17.0,0.0,0.0,17.0,Ist6,B
P03_Ist6_4,15.0,2.0,13.0,0.0,0.0,15.0,Ist6,B
P03_Ist6_5,31.0,2.0,29.0,0.0,1.0,30.0,Ist6,B
P04_Ist1_1,10.0,3.0,7.0,0.0,1.0,9.0,Ist1,B
P04_Ist1_2,39.0,18.0,21.0,0.0,16.0,23.0,Ist1,B
P04_Ist1_3,32.0,22.0,10.0,0.0,19.0,13.0,Ist1,B
P04_Ist1_4,8.0,3.0,5.0,0.0,2.0,6.0,Ist1,B
P04_Ist1_5,17.0,13.0,4.0,0.0,13.0,4.0,Ist1,B
P04_Ist1_6,18.0,14.0,4.0,0.0,13.0,5.0,Ist1,B
P04_Ist2_1,25.0,14.0,11.0,0.0,6.0,19.0,Ist2,B
P04_Ist2_2,16.0,16.0,0.0,0.0,13.0,3.0,Ist2,B
P04_Ist2_3,44.0,40.0,4.0,0.0,44.0,0.0,Ist2,B
P04_Ist2_4,29.0,29.0,0.0,0.0,29.0,0.0,Ist2,B
P04_Ist2_5,14.0,5.0,9.0,0.0,3.0,11.0,Ist2,B
P04_Ist4_1,47.0,47.0,0.0,0.0,47.0,0.0,Ist4,B
P04_Ist4_2,8.0,8.0,0.0,0.0,8.0,0.0,Ist4,B
P04_Ist4_3,60.0,60.0,0.0,0.0,54.0,6.0,Ist4,B
P04_Ist4_4,34.0,32.0,2.0,0.0,32.0,2.0,Ist4,B
P04_Ist6_1,63.0,59.0,4.0,0.0,59.0,4.0,Ist6,B
P04_Ist6_2,45.0,18.0,27.0,0.0,14.0,31.0,Ist6,B
P04_Ist6_3,6.0,0.0,6.0,0.0,0.0,6.0,Ist6,B
P04_Ist6_4,6.0,6.0,0.0,0.0,4.0,2.0,Ist6,B
P04_Ist6_5,39.0,37.0,2.0,0.0,37.0,2.0,Ist6,B
P05_Ist1_1,2.0,2.0,0.0,0.0,0.0,2.0,Ist1,B
P05_Ist1_2,35.0,2.0,33.0,0.0,2.0,33.0,Ist1,B
P05_Ist1_3,29.0,18.0,11.0,0.0,10.0,19.0,Ist1,B
P05_Ist1_4,7.0,4.0,3.0,0.0,4.0,3.0,Ist1,B
P05_Ist1_5,17.0,17.0,0.0,0.0,17.0,0.0,Ist1,B
P05_Ist1_6,27.0,3.0,24.0,0.0,3.0,24.0,Ist1,B
P05_Ist2_1,13.0,2.0,11.0,0.0,0.0,13.0,Ist2,B
P05_Ist2_2,14.0,10.0,4.0,0.0,9.0,5.0,Ist2,B
P05_Ist2_3,25.0,15.0,10.0,0.0,10.0,15.0,Ist2,B
P05_Ist2_4,47.0,26.0,21.0,0.0,25.0,22.0,Ist2,B
P05_Ist2_5,37.0,8.0,29.0,0.0,10.0,27.0,Ist2,B
P05_Ist5_1,25.0,15.0,10.0,0.0,9.0,16.0,Ist5,B
P05_Ist5_2,14.0,7.0,7.0,0.0,6.0,8.0,Ist5,B
P05_Ist5_3,24.0,10.0,14.0,0.0,4.0,20.0,Ist5,B
P05_Ist5_4,5.0,1.0,4.0,0.0,0.0,5.0,Ist5,B
P05_Ist5_5,25.0,8.0,17.0,0.0,7.0,18.0,Ist5,B
P05_Ist5_6,31.0,24.0,7.0,0.0,24.0,7.0,Ist5,B
P05_Ist6_1,57.0,45.0,12.0,0.0,38.0,19.0,Ist6,B
P05_Ist6_2,25.0,6.0,19.0,0.0,0.0,25.0,Ist6,B
P05_Ist6_3,9.0,0.0,9.0,0.0,0.0,9.0,Ist6,B
P05_Ist6_4,8.0,3.0,5.0,0.0,1.0,7.0,Ist6,B
P05_Ist6_5,23.0,18.0,5.0,0.0,18.0,5.0,Ist6,B
P06_Ist1_1,7.0,0.0,7.0,0.0,0.0,7.0,Ist1,B
P06_Ist1_2,43.0,4.0,39.0,0.0,2.0,41.0,Ist1,B
P06_Ist1_3,47.0,24.0,23.0,0.0,20.0,27.0,Ist1,B
P06_Ist1_4,3.0,3.0,0.0,0.0,3.0,0.0,Ist1,B
P06_Ist1_5,3.0,0.0,3.0,0.0,0.0,3.0,Ist1,B
P06_Ist1_6,13.0,4.0,9.0,0.0,4.0,9.0,Ist1,B
P06_Ist3_1,10.0,0.0,10.0,0.0,8.0,2.0,Ist3,B
P06_Ist3_2,10.0,6.0,4.0,0.0,4.0,6.0,Ist3,B
P06_Ist3_3,4.0,0.0,4.0,0.0,0.0,4.0,Ist3,B
P06_Ist3_4,41.0,41.0,0.0,0.0,40.0,1.0,Ist3,B
P06_Ist3_5,46.0,3.0,43.0,0.0,10.0,36.0,Ist3,B
P06_Ist3_6,46.0,46.0,0.0,0.0,46.0,0.0,Ist3,B
P06_Ist3_7,5.0,2.0,3.0,0.0,2.0,3.0,Ist3,B
P06_Ist5_1,33.0,8.0,25.0,0.0,14.0,19.0,Ist5,B
P06_Ist5_2,46.0,22.0,24.0,0.0,22.0,24.0,Ist5,B
P06_Ist5_3,4.0,0.0,4.0,0.0,0.0,4.0,Ist5,B
P06_Ist5_4,22.0,0.0,22.0,0.0,22.0,0.0,Ist5,B
P06_Ist5_5,27.0,24.0,3.0,0.0,21.0,6.0,Ist5,B
P06_Ist5_6,8.0,5.0,3.0,0.0,5.0,3.0,Ist5,B
P06_Ist6_1,23.0,10.0,13.0,0.0,8.0,15.0,Ist6,B
P06_Ist6_2,25.0,14.0,11.0,0.0,2.0,23.0,Ist6,B
P06_Ist6_3,7.0,5.0,2.0,0.0,4.0,3.0,Ist6,B
P06_Ist6_4,9.0,7.0,2.0,0.0,6.0,3.0,Ist6,B
P06_Ist6_5,53.0,22.0,31.0,0.0,53.0,0.0,Ist6,B
